id;restaurant_name;location;banner;logo;number_of_tables;availability;api_key;pay_later;ask_for_service;enable_sms;slug
1;initiative;SMTP;Plastic primary;Home Loan Account;82578;true;enterprise Buckinghamshire embrace;true;false;false;calculate invoice
2;Compatible XML Salad;synthesizing Orchestrator;Marketing Keyboard;deposit Internal payment;6731;true;Licensed e-markets;true;false;true;hard drive
3;Producer;Specialist Tasty Granite Ball;Planner;application;83180;false;Holy See (Vatican City State) transitional invoice;false;false;true;Computer deposit
4;Assistant program white;integrated;quantify Awesome Cotton Bacon;South Dakota;25808;true;Sports relationships;false;true;false;wireless methodical leverage
5;Plastic;Generic deposit;connect;transparent quantifying;89338;true;Fields;false;false;true;Practical Fresh Pizza
6;RAM;client-driven Bedfordshire Personal Loan Account;Handcrafted withdrawal Fish;neural Savings Account;65063;true;Profound;false;false;true;Berkshire Buckinghamshire
7;Electronics Engineer Cheese;Progressive synergies;invoice;open-source Principal Armenia;77657;false;synergize Orchestrator;false;false;false;plug-and-play
8;Sao Tome and Principe Auto Loan Account European Monetary Unit (E.M.U.-6);connect digital Refined;integrate Maryland Sleek;Advanced Credit Card Account Kids;13636;false;Cotton back-end violet;false;false;false;panel productize
9;Massachusetts;generating parallelism;Haven reciprocal Licensed;SMTP Small;42232;true;Soft invoice;true;true;false;Kiribati
10;Handcrafted Wooden Chips SCSI;quantifying Wisconsin;Buckinghamshire;Customer Markets Supervisor;93135;false;Intranet Practical GB;false;true;true;Frozen
